Month,Sales
2009-1,3610067143
2009-2,3846771368
2009-3,4039383532
2009-4,3763650593
2009-5,3955369862
2009-6,3772082941
2009-7,3737451534
2009-8,3646852023
2009-9,3844996108
2009-10,4072351439
2009-11,4191491533
2009-12,5402371664
2010-1,3877111430
2010-2,4023675867
2010-3,4335292685
2010-4,4367567752
2010-5,4407738528
2010-6,4205134817
2010-7,4141501081
2010-8,3973000670
2010-9,3999510442
2010-10,4250412261
2010-11,4418951293
2010-12,5807228410
2011-1,4209560797
2011-2,4333636220
2011-3,4668531497
2011-4,4467489881
2011-5,4421937194
2011-6,4270099928
2011-7,4195711179
2011-8,4083819772
2011-9,4159308105
2011-10,4355992201
2011-11,4523675890
2011-12,6249964253
2012-1,4473131766
2012-2,4739947844
2012-3,4958320927
2012-4,4580795930
2012-5,4687533350
2012-6,4599874518
2012-7,4379647642
2012-8,4222013040
2012-9,4304624646
2012-10,4543054645
2012-11,4788498403
2012-12,6290779907
2013-1,4475834606
2013-2,4649128217
2013-3,5110870086
2013-4,4783830393
2013-5,4914154434
2013-6,4804677514
2013-7,4764214203
2013-8,4470821079
2013-9,4593943907
2013-10,4874233772
2013-11,5130155582
2013-12,6609452812
2014-1,4803856022
2014-2,5212807326
2014-3,5901161548
2014-4,5211481576
2014-5,5775538520
2014-6,5653395561
2014-7,5541482967
2014-8,5417920136
2014-9,5457805070
2014-10,5695930143
2014-11,5783388516
2014-12,7615335382
2015-1,5762964813
2015-2,5961096395
2015-3,6435911312
2015-4,5956050585
2015-5,6280475898
2015-6,5839126181
2015-7,5860297707
2015-8,5599952180
2015-9,5755241309
2015-10,5974539274
2015-11,6198002739
2015-12,8325180638
2016-1,6228645792
2016-2,6493887974
2016-3,6752492999
2016-4,6333280803
2016-5,6434477650
2016-6,6229499758
2016-7,6216820453
2016-8,5947142930
2016-9,6245331774
2016-10,6437504276
2016-11,6530648916
2016-12,8536054834
2017-1,6459517570
2017-2,6532698573
2017-3,7105957982
2017-4,6815625245
2017-5,7029755314
2017-6,6958745752
2017-7,6925124779
2017-8,6699142937
2017-9,6796846072
2017-10,7416372150
2017-11,7430400399
2017-12,9382704226
2018-1,7203342921
2018-2,7264045112
2018-3,7837065451
2018-4,7429865067
2018-5,7698331725
2018-6,7365557333
2018-7,7327284614
2018-8,7307745815
2018-9,7355098179
2018-10,7591892165
2018-11,7735268532
2018-12,9761614257
2019-1,7679090003
2019-2,7938213001
2019-3,8785333254
2019-4,8206130550
2019-5,8216544005
2019-6,7853047121
2019-7,8068252814
2019-8,7707094171
2019-9,7875721629
2019-10,8110237945
2019-11,8359170990
2019-12,10702045824
2020-1,8104171192
2020-2,8501151493
2020-3,9121503037
2020-4,8673353369
2020-5,8947236529
2020-6,8723450958
2020-7,8934139636
2020-8,8688172996
2020-9,8888713276
2020-10,9239746365
2020-11,9056822675
2020-12,11718945675
2021-1,8835106645
2021-2,9265354270
2021-3,9901380651
2021-4,9507646600
2021-5,9825618538
2021-6,9547331388
2021-7,9532916553
2021-8,9343028979
2021-9,9749076420
2021-10,9322492219
2021-11,9245243526
2021-12,12070617600
2022-1,8848165854
2022-2,9089078126
2022-3,10306505873
2022-4,9462118894
2022-5,9858861533
2022-6,9204650612
2022-7,9276759566
2022-8,9126982145
2022-9,9622120605
2022-10,9570051342
2022-11,9818776404
2022-12,12700858667
