date,sales
2012/01/01,6540601
2012/01/02,7211678
2012/01/03,6619422
2012/01/04,6826748
2012/01/05,6727839
2012/01/06,7647233
2012/01/07,7913228
2012/01/08,8075309
2012/01/09,7330589
2012/01/10,7611517
2012/01/11,7066919
2012/01/12,7118536
2012/01/13,8319773
2012/01/14,8576493
2012/01/15,8259776
2012/01/16,7272998
2012/01/17,7043534
2012/01/18,7410176
2012/01/19,7404694
2012/01/20,6469162
2012/01/21,7872957
2012/01/22,8262733
2012/01/23,7216532
2012/01/24,6969032
2012/01/25,8083180
2012/01/26,8008389
2012/01/27,8406603
2012/01/28,9121024
2012/01/29,8135141
2012/01/30,7742565
2012/01/31,7554481
2012/02/01,7485372
2012/02/02,7631748
2012/02/03,9931591
2012/02/04,8589119
2012/02/05,8276193
2012/02/06,6956118
2012/02/07,6653474
2012/02/08,8105389
2012/02/09,7905784
2012/02/10,9412057
2012/02/11,9617190
2012/02/12,9491215
2012/02/13,9324408
2012/02/14,7437882
2012/02/15,8189565
2012/02/16,7742192
2012/02/17,9383746
2012/02/18,9583786
2012/02/19,8832568
2012/02/20,8230879
2012/02/21,7408867
2012/02/22,7747290
2012/02/23,6627409
2012/02/24,9038144
2012/02/25,8127915
2012/02/26,8586251
2012/02/27,7604552
2012/02/28,8389673
2012/02/29,4810528
2012/03/01,9235684
2012/03/02,8553271
2012/03/03,11665602
2012/03/04,8067829
2012/03/05,5856745
2012/03/06,7786205
2012/03/07,7695247
2012/03/08,7513473
2012/03/09,7117677
2012/03/10,8517569
2012/03/11,9256117
2012/03/12,8083718
2012/03/13,7756028
2012/03/14,8107222
2012/03/15,7609163
2012/03/16,8902137
2012/03/17,7324630
2012/03/18,8728217
2012/03/19,8684102
2012/03/20,7563331
2012/03/21,7613059
2012/03/22,7434660
2012/03/23,7780224
2012/03/24,9287496
2012/03/25,8870084
2012/03/26,7445448
2012/03/27,7285956
2012/03/28,6739015
2012/03/29,6718402
2012/03/30,8400019
2012/03/31,6545600
2012/04/01,8956714
2012/04/02,8099266
2012/04/03,5706960
2012/04/04,7857670
2012/04/05,7475357
2012/04/06,8575664
2012/04/07,9734912
2012/04/08,9593262
2012/04/09,7833289
2012/04/10,7491947
2012/04/11,6088219
2012/04/12,7750766
2012/04/13,8275297
2012/04/14,7106040
2012/04/15,9467434
2012/04/16,8199067
2012/04/17,6905649
2012/04/18,7710831
2012/04/19,7466837
2012/04/20,8342637
2012/04/21,9504129
2012/04/22,7483117
2012/04/23,6509653
2012/04/24,8090753
2012/04/25,7861854
2012/04/26,6805074
2012/04/27,7676368
2012/04/28,9333328
2012/04/29,8095002
2012/04/30,7688205
2012/05/01,7986849
2012/05/02,6786116
2012/05/03,6613473
2012/05/04,7550125
2012/05/05,8288625
2012/05/06,7035587
2012/05/07,7930882
2012/05/08,7557240
2012/05/09,7045185
2012/05/10,6437275
2012/05/11,9417369
2012/05/12,10162811
2012/05/13,10246105
2012/05/14,7973083
2012/05/15,6099269
2012/05/16,7480607
2012/05/17,7056694
2012/05/18,7599732
2012/05/19,8686297
2012/05/20,8467572
2012/05/21,7701322
2012/05/22,5706059
2012/05/23,8279703
2012/05/24,7314434
2012/05/25,8682354
2012/05/26,8543264
2012/05/27,8872030
2012/05/28,6657897
2012/05/29,6872468
2012/05/30,7389499
2012/05/31,7106567
2012/06/01,8185107
2012/06/02,9021285
2012/06/03,8163323
2012/06/04,7268946
2012/06/05,7152864
2012/06/06,6853227
2012/06/07,7290626
2012/06/08,8359097
2012/06/09,7663272
2012/06/10,8883036
2012/06/11,8158620
2012/06/12,6233924
2012/06/13,7410704
2012/06/14,7736505
2012/06/15,10016320
2012/06/16,8876779
2012/06/17,10269078
2012/06/18,8137282
2012/06/19,6427288
2012/06/20,6899402
2012/06/21,7592112
2012/06/22,7217559
2012/06/23,9044427
2012/06/24,8405104
2012/06/25,7824060
2012/06/26,7648071
2012/06/27,8019576
2012/06/28,7469993
2012/06/29,8766072
2012/06/30,9048224
2012/07/01,7970225
2012/07/02,7979664
2012/07/03,6529332
2012/07/04,7579625
2012/07/05,7221025
2012/07/06,8193658
2012/07/07,8022938
2012/07/08,8314338
2012/07/09,7509968
2012/07/10,7559036
2012/07/11,7386348
2012/07/12,7121366
2012/07/13,8137175
2012/07/14,8712093
2012/07/15,7545033
2012/07/16,6993900
