日付,始値,高値,安値,終値,出来高,売買代金
2017-09-29,6703.00,6729.00,6698.00,6710.00,5879200,39438999100
2017-09-28,6779.00,6793.00,6710.00,6769.00,6139100,41504380700
2017-09-27,6752.00,6778.00,6735.00,6748.00,5465900,36916080800
2017-09-26,6780.00,6832.00,6774.00,6815.00,7867900,53588070400
2017-09-25,6781.00,6794.00,6762.00,6784.00,5874600,39827130000
2017-09-22,6750.00,6787.00,6732.00,6733.00,7333100,49543263300
2017-09-21,6774.00,6788.00,6737.00,6738.00,7048000,47667280600
2017-09-20,6683.00,6730.00,6672.00,6703.00,7543900,50558890800
2017-09-19,6600.00,6730.00,6600.00,6729.00,12343800,82308489300
2017-09-15,6409.00,6492.00,6398.00,6480.00,9607100,62154367500
2017-09-14,6416.00,6438.00,6409.00,6431.00,4994700,32104390500
2017-09-13,6400.00,6424.00,6398.00,6417.00,4724400,30284516600
2017-09-12,6368.00,6383.00,6352.00,6361.00,6073100,38678784200
2017-09-11,6270.00,6319.00,6251.00,6296.00,5982500,37657021200
2017-09-08,6285.00,6287.00,6205.00,6220.00,8546200,53476648800
2017-09-07,6205.00,6256.00,6197.00,6235.00,5681500,35424918500
2017-09-06,6167.00,6193.00,6137.00,6165.00,4913300,30309813700
2017-09-05,6189.00,6220.00,6180.00,6219.00,5118800,31754791600
2017-09-04,6165.00,6202.00,6157.00,6169.00,4348200,26854578000
2017-09-01,6215.00,6217.00,6151.00,6182.00,3710200,22927527100
2017-08-31,6184.00,6214.00,6176.00,6183.00,5004200,30983157100
2017-08-30,6135.00,6158.00,6112.00,6151.00,5266000,32331228500
2017-08-29,6075.00,6109.00,6067.00,6090.00,4792100,29178980900
2017-08-28,6141.00,6167.00,6118.00,6126.00,4118300,25268539500
2017-08-25,6137.00,6186.00,6120.00,6158.00,4686700,28882986400
2017-08-24,6150.00,6176.00,6106.00,6107.00,4211500,25835021200
2017-08-23,6198.00,6217.00,6156.00,6173.00,5812200,35969747400
2017-08-22,6148.00,6168.00,6117.00,6138.00,5319800,32676844300
2017-08-21,6138.00,6184.00,6105.00,6163.00,6549200,40328861700
2017-08-18,6090.00,6137.00,6078.00,6125.00,6501000,39776636000
2017-08-17,6195.00,6216.00,6170.00,6175.00,5513500,34107338600
2017-08-16,6248.00,6249.00,6175.00,6194.00,5877700,36461524900
2017-08-15,6235.00,6301.00,6232.00,6275.00,7298300,45840439800
2017-08-14,6190.00,6244.00,6158.00,6180.00,8389800,52005790800
2017-08-10,6262.00,6293.00,6250.00,6275.00,7134900,44765249700
2017-08-09,6284.00,6304.00,6205.00,6236.00,7389600,46090888900
2017-08-08,6350.00,6360.00,6311.00,6336.00,5662900,35870075300
2017-08-07,6300.00,6360.00,6292.00,6339.00,9673500,61249835000
2017-08-04,6185.00,6263.00,6176.00,6216.00,7120300,44339241600
2017-08-03,6311.00,6313.00,6202.00,6225.00,6286000,39162666600
2017-08-02,6330.00,6347.00,6296.00,6300.00,6601100,41707719900
2017-08-01,6239.00,6308.00,6220.00,6300.00,7856600,49335580300
2017-07-31,6218.00,6274.00,6216.00,6234.00,7543700,47182927900
2017-07-28,6212.00,6260.00,6205.00,6228.00,6938900,43274833700
2017-07-27,6174.00,6276.00,6170.00,6250.00,8995900,56045705500
2017-07-26,6184.00,6203.00,6171.00,6186.00,6953100,43037094300
2017-07-25,6092.00,6178.00,6089.00,6107.00,6543500,40103666500
2017-07-24,6062.00,6122.00,6045.00,6079.00,7938000,48302268000
2017-07-21,6135.00,6152.00,6118.00,6126.00,5498200,33721203200
2017-07-20,6128.00,6177.00,6108.00,6150.00,6815300,41917074600
2017-07-19,6139.00,6160.00,6108.00,6128.00,7141200,43741708200
2017-07-18,6210.00,6213.00,6155.00,6180.00,7654300,47377841200
2017-07-14,6222.00,6282.00,6221.00,6258.00,8080300,50584742100
2017-07-13,6231.00,6244.00,6189.00,6210.00,6891800,42861276700
2017-07-12,6186.00,6230.00,6170.00,6225.00,8612700,53391087500
2017-07-11,6188.00,6274.00,6188.00,6263.00,8830700,55133495800
2017-07-10,6230.00,6233.00,6182.00,6187.00,7566000,46913203800
2017-07-07,6090.00,6206.00,6085.00,6157.00,10458700,64442122600
2017-07-06,6155.00,6160.00,6103.00,6134.00,10018400,61484925000
2017-07-05,6124.00,6154.00,6092.00,6154.00,10758500,65995840300
2017-07-04,6030.00,6094.00,6028.00,6060.00,11544700,69977595700
2017-07-03,5893.00,5996.00,5887.00,5950.00,11484000,68390135600
2017-06-30,5896.00,5906.00,5867.00,5893.00,7372400,43401079000
2017-06-29,5930.00,5934.00,5886.00,5910.00,6462300,38214481000
2017-06-28,5880.00,5915.00,5879.00,5904.00,6937500,40952501100
2017-06-27,5861.00,5893.00,5860.00,5876.00,4758000,27974328300
2017-06-26,5850.00,5876.00,5838.00,5838.00,3603700,21095698200
2017-06-23,5877.00,5896.00,5851.00,5860.00,4185800,24565224700
2017-06-22,5836.00,5889.00,5830.00,5877.00,5364600,31486672700
2017-06-21,5800.00,5853.00,5790.00,5840.00,7470100,43540541400
